province_id,province_name,candidate_id,batik_name_id,batik_name_en,relationship_claim,primary_source_title,primary_source_owner,primary_source_url,source_published_at,accessed_at,secondary_source_url,verification_status,image_candidate_url,image_creator,image_license,image_license_url,image_verification_status,notes
aceh,Aceh,batik-aceh,Batik Aceh,Aceh Batik,"Pemerintah Aceh menyebut Batik Aceh dengan motif yang antara lain mengangkat Pinto Aceh, Rencong, Bunga Jeumpa, dan motif Gayo.",Darwati Berharap Batik Aceh Tampil Lebih Modern,Pemerintah Provinsi Aceh,https://humas.acehprov.go.id/darwati-berharap-batik-aceh-tampil-lebih-modern/,2017-08-19,2026-09-04,,verified,,,,,not_searched,
sumatera-utara,Sumatera Utara,batik-sumatera-utara,Batik Sumatera Utara,North Sumatra Batik,Jurnal ilmiah mendokumentasikan produksi kriya Batik Sumatera Utara dengan penerapan motif lokal di Sanggar Seni Pendopo.,Tinjauan Aspek Motif dan Bentuk pada Kriya Tas Batik Sumatera Utara di Sanggar Seni Pendopo,Mahesa Research Center (JEHSS),https://mahesainstitute.web.id/ojs2/index.php/jehss/article/view/857,,2026-09-04,https://dinkes.sumutprov.go.id/artikel/pemprov-sumut-gali-dan-promosikan-kekayaan-budaya-lewat-sayembara-desain-batik-1735024858,verified,,,,,not_searched,Sumber primer mengkaji produk kriya tas Batik Sumatera Utara yang diproduksi Sanggar Seni Pendopo; sumber sekunder hanya mendokumentasikan sayembara desain.
sumatera-barat,Sumatera Barat,batik-tanah-liek,Batik Tanah Liek,Tanah Liek Batik,Batik Tanah Liek merupakan salah satu jenis batik yang berasal dari Sumatera Barat; penelitian pada sumber tersebut berlokasi di Kota Padang.,Pengaruh Inovasi Dan Daya Saing Produk Terhadap Minat Beli Batik Tanah Liek Di Kota Padang,Balitbang Provinsi Sumatera Barat,https://eriset-balitbang.sumbarprov.go.id/detail/riset/2068/pengaruh-inovasi-dan-daya-saing-produk-terhadap-minat-beli-batik-tanah-liek-di-kota-padang.html,,2026-09-04,,verified,,,,,not_searched,Diambil dari portal riset resmi daerah.
riau,Riau,batik-tabir,Batik Tabir,Tabir Batik,Batik Tabir terinspirasi bentuk tabir atau pelaminan dan ragam hias Melayu Riau.,Desain Ragam Hias Pelaminan Melayu Riau Sebagai Inspirasi Inovasi Kriya Batik,Jurnal Gorga (Unimed),https://jurnal.unimed.ac.id/2012/index.php/gorga/article/view/11854,2018-12-25,2026-09-04,,verified,,,,,not_searched,
kepulauan-riau,Kepulauan Riau,batik-gonggong,Batik Gonggong,Gonggong Batik,"Studi di CV Lawana, Tanjung Pinang, mendokumentasikan proses produksi Batik Gonggong serta produk batik cap dan tulis.",KAJIAN MOTIF BATIK GONGGONG CV LAWANA DI TANJUNG PINANG,Institut Seni Indonesia Surakarta (Ornamen),https://doi.org/10.33153/ornamen.v19i1.3904,2022-06-30,2026-09-04,https://dekranasda.kepriprov.go.id/produk/bahan-kain/batik-gonggong,verified,,,,,not_searched,
jambi,Jambi,batik-jambi,Batik Jambi,Jambi Batik,Batik Jambi memiliki motif Angso Duo yang merefleksikan nilai kearifan lokal masyarakat Melayu Jambi.,Batik Jambi: A Hidden Gem in the Heart of Sumatra,Jurnal Prajaiswara (Jambi),https://prajaiswara.jambiprov.go.id/index.php/file2/article/view/229,2026-02-20,2026-09-04,,verified,,,,,not_searched,
sumatera-selatan,Sumatera Selatan,batik-kujur,Batik Kujur,Kujur Batik,Motif Batik Kujur dari Kabupaten Muara Enim telah didaftarkan dan disebut Pemerintah Provinsi sebagai salah satu wastra khas Sumatera Selatan.,Sekda Supriono Buka MIPC 2024 Bangkitkan Pemulihan Ekonomi dan Pengembangan Nasional,Pemerintah Provinsi Sumatera Selatan,https://sumselprov.go.id/detail/berita/sekda-supriono-buka-mipc-2024-bangkitkan-pemulihan-ekonomi-dan-pengembangan-nasional/baru,2024-06-20,2026-09-04,,verified,,,,,not_searched,Kandidat Batik Palembang sebelumnya tidak dipilih karena sumber langsungnya belum cukup kuat.
kepulauan-bangka-belitung,Kepulauan Bangka Belitung,batik-cual,Batik Cual,Cual Batik,Pemerintah Provinsi Kepulauan Bangka Belitung menyebut Batik Cual sebagai batik khas Kepulauan Babel; salah satu motif yang ditampilkan adalah Bunga Ketuyut atau Kantong Semar.,Kala Batik Cual Babel Melenggang di Catwalk Istana Berbatik,Pemerintah Provinsi Kepulauan Bangka Belitung,https://babelprov.go.id/siaran_pers/kala-batik-cual-babel-melenggang-di-catwalk-istana-berbatik,2023-10-01,2026-09-04,https://repository.ubb.ac.id/id/eprint/4251/,verified,,,,,not_searched,Sumber pemerintah mengidentifikasi Batik Cual sebagai batik khas Kepulauan Bangka Belitung. Repositori UBB membahas limbah zat warna dari kegiatan produksi Batik Cual. Teknik produksi dan pemilihan aset non-Tenun Cual tetap harus diverifikasi sebelum masuk cultures.json.
bengkulu,Bengkulu,batik-besurek,Batik Besurek,Besurek Batik,Batik Besurek merupakan batik khas Bengkulu dengan ciri utama motif kaligrafi atau huruf Arab.,KAIN BATIK BESUREK DI KOTA BENGKUL,Jurnal Keraton (Univet Bantara),https://journal.univetbantara.ac.id/index.php/keraton/article/view/875,2020-09-18,2026-09-04,,verified,,,,,not_searched,Publikasi akademik.
lampung,Lampung,batik-lampung,Batik Lampung,Lampung Batik,Batik Lampung merupakan kerajinan yang mengadopsi unsur budaya Lampung seperti mahkota Siger dan unsur alam ke dalam motifnya.,Mengenal Batik Lampung,Kementerian Perindustrian RI,https://smartsentra.kemenperin.go.id/article/category/3/mengenal-batik-lampung/20,2022-06-08,2026-09-04,,verified,,,,,not_searched,Sumber kementerian resmi.
dki-jakarta,DKI Jakarta,batik-betawi,Batik Betawi,Betawi Batik,Batik Betawi tercatat sebagai warisan budaya takbenda DKI Jakarta. Batik Betawi Gobang menampilkan ikon Gigi Balang dan Ondel-ondel.,eBook Profil Dinas Kebudayaan Provinsi DKI Jakarta,Dinas Kebudayaan DKI Jakarta,https://dinaskebudayaan.jakarta.go.id/content/uploads/buku_disbud/eBook_Profil_Dinas_Kebudayaan_Provinsi_DKI_Jakarta.pdf,,2026-09-04,https://barat.jakarta.go.id/detailberita/1392,verified,,,,,not_searched,
banten,Banten,batik-banten,Batik Banten,Banten Batik,"Motif-motif Batik Banten diambil dari nama tempat, gelar kesultanan, dan artefak Kesultanan Banten.",Batik Banten Mukarnas: Pelopor Produksi Sentra Batik di Provinsi Banten,Pemerintah Provinsi Banten,https://bantenprov.go.id/berita/batik-banten-mukarnas-pelopor-produksi-sentra-batik-di-provinsi-banten-miliki-120-lebih-motif,2024-02-05,2026-09-04,,verified,,,,,not_searched,
jawa-barat,Jawa Barat,batik-cirebon,Batik Megamendung,Megamendung Batik,Batik Megamendung disebut Pemerintah Kota Cirebon sebagai salah satu kekayaan seni dan kekuatan ekonomi kreatif Kota Cirebon.,Wali Kota Tekankan Keunggulan Budaya dan Heritage Kota Cirebon,Pemerintah Kota Cirebon,https://cirebonkota.go.id/berita/wali-kota-tekankan-keunggulan-budaya-dan-heritage-kota-cirebon-di-regional-summit-rebana,2025-05-20,2026-09-04,,verified,,,,,not_searched,
