province_id,field,source_title,source_owner,source_url,source_published_at,accessed_at,claim_supported,notes
aceh,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sumatera-utara,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sumatera-barat,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
riau,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
jambi,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
sumatera-selatan,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
bengkulu,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
lampung,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kepulauan-bangka-belitung,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
kepulauan-riau,description,"Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tentang Pemberian dan Pemutakhiran Kode, Data Wilayah Administrasi Pemerintahan, dan Pulau",Kementerian Dalam Negeri Republik Indonesia,https://jdih.kemendagri.go.id/dokumen/baku/kepmendagri-nomor-100-1-1-6117-tahun-2022,2022-11-09,2026-09-05,Mendokumentasikan nama resmi dan cakupan wilayah administrasi provinsi.,
